Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049995	1.659893	1.223737	32.462277	53.259889	
0.049978	1.334790	1.136941	47.693224	55.904262	
0.049951	1.256199	1.045911	50.860108	60.863684	
0.049912	1.217381	0.974777	52.417323	63.378680	
0.049863	1.190247	0.981606	53.636524	63.012114	
0.049803	1.172741	0.940210	54.281421	65.056651	
0.049732	1.157327	0.909238	54.894208	65.848591	
0.049650	1.148024	0.907805	55.261390	66.487631	
0.049557	1.139992	0.924711	55.604551	65.580037	
0.049454	1.133171	0.896793	55.885698	66.799310	
0.049339	1.128735	0.866673	56.079829	67.957816	
0.049215	1.126257	0.903086	56.169541	66.319050	
0.049079	1.117921	0.859908	56.547018	68.093072	
0.048933	1.116811	0.856404	56.601679	67.851962	
0.048776	1.112242	0.858330	56.734531	68.106794	
0.048609	1.108982	0.857068	56.837969	68.087192	
0.048432	1.107425	0.852994	56.925966	68.179323	
0.048244	1.104827	0.849603	56.973763	68.308700	
0.048047	1.101525	0.843096	57.208828	68.628220	
0.047839	1.099969	0.882452	57.166178	67.277610	
0.047621	1.100489	0.860366	57.264959	67.967617	
0.047393	1.097472	0.907493	57.344622	66.285725	
0.047155	1.095681	0.855227	57.400753	68.118556	
0.046908	1.091168	0.859592	57.525026	68.189125	
0.046651	1.090053	0.869568	57.587040	67.838240	
0.046384	1.088413	0.885123	57.682635	67.258008	
0.046108	1.087424	0.834014	57.598070	69.465245	
0.045823	1.085111	0.829340	57.818184	69.206492	
0.045529	1.084544	0.862837	57.755434	67.697103	
0.045225	1.081334	0.840147	57.885345	69.186890	
0.044913	1.078724	0.817219	57.987068	69.725958	
0.044592	1.075384	0.820071	58.268950	69.563257	
0.044263	1.076315	0.831964	58.138058	69.094758	
0.043925	1.075432	0.815706	58.173355	69.792606	
0.043579	1.072293	0.829435	58.224829	69.130043	
0.043224	1.071593	0.810000	58.406949	70.074881	
0.042862	1.070187	0.823403	58.425088	69.282942	
0.042492	1.070291	0.814502	58.250076	69.949426	
0.042114	1.067979	0.804454	58.503280	70.243463	
0.041728	1.068188	0.827367	58.471415	69.514251	
0.041336	1.065620	0.821680	58.591766	69.265300	
0.040936	1.062040	0.855227	58.708196	68.345944	
0.040529	1.061754	0.800286	58.776583	70.568863	
0.040115	1.058575	0.805559	58.727070	70.212099	
0.039695	1.057487	0.809356	58.801339	70.174854	
0.039268	1.058543	0.824204	58.859677	69.541694	
0.038835	1.054217	0.794255	59.014099	70.619830	
0.038396	1.053614	0.821795	59.004294	69.341749	
0.037951	1.050835	0.776510	59.115577	71.527424	
0.037500	1.051354	0.815903	59.079300	69.647548	
0.037044	1.049119	0.780631	59.168031	71.119693	
0.036582	1.047513	0.798173	59.172933	70.512016	
0.036116	1.047166	0.783209	59.255537	70.968754	
0.035645	1.043706	0.786792	59.457757	70.858980	
0.035168	1.040274	0.783492	59.513153	70.827616	
0.034688	1.039948	0.776743	59.531046	71.300035	
0.034203	1.038162	0.792209	59.636691	71.004038	
0.033714	1.035741	0.768262	59.779102	71.839103	
0.033222	1.034849	0.762781	59.770278	71.868507	
0.032726	1.031760	0.765646	59.796506	71.556828	
0.032226	1.029365	0.796973	60.019560	70.651194	
0.031723	1.029567	0.778072	59.940143	71.319638	
0.031217	1.027630	0.793007	60.044317	70.708041	
0.030709	1.024047	0.772379	60.220799	71.339240	
0.030198	1.023165	0.762301	60.239183	71.890069	
0.029685	1.022059	0.753759	60.251684	72.188027	
0.029169	1.018432	0.746073	60.365907	72.327204	
0.028652	1.016788	0.752064	60.433804	72.436978	
0.028133	1.014664	0.751395	60.607836	72.284079	
0.027613	1.011811	0.750510	60.668624	72.350727	
0.027092	1.009152	0.776337	60.855892	71.125573	
0.026570	1.006794	0.744397	60.831135	72.664367	
0.026047	1.006399	0.743519	60.835793	72.452660	
0.025524	1.001626	0.758820	61.152236	72.178226	
0.025000	1.001409	0.743524	61.053945	72.676128	
0.024477	0.998503	0.729240	61.197092	73.368095	
0.023953	0.996286	0.746710	61.290481	72.731015	
0.023430	0.993100	0.719035	61.374555	73.566080	
0.022908	0.989424	0.714212	61.532899	73.834634	
0.022387	0.988208	0.718508	61.584373	73.652331	
0.021867	0.984397	0.720569	61.729236	73.507273	
0.021348	0.982421	0.719668	61.849588	73.622927	
0.020831	0.979308	0.706891	61.967978	74.069863	
0.020316	0.976882	0.700045	62.035875	74.377622	
0.019802	0.974725	0.705171	62.129509	74.167875	
0.019291	0.971795	0.717052	62.271921	73.811111	
0.018783	0.968241	0.704546	62.393252	74.118869	
0.018277	0.963614	0.691923	62.493995	74.850041	
0.017774	0.963921	0.693917	62.505270	74.899047	
0.017275	0.957777	0.687934	62.781024	74.855922	
0.016778	0.954668	0.692270	62.948683	74.791234	
0.016286	0.952486	0.690446	63.050651	74.734387	
0.015797	0.950186	0.679885	63.120018	75.436155	
0.015312	0.947356	0.684116	63.312433	75.067628	
0.014832	0.940957	0.674244	63.422735	75.506724	
0.014356	0.939503	0.672104	63.473229	75.800761	
0.013884	0.937243	0.681128	63.634759	75.306779	
0.013418	0.933311	0.661839	63.724716	75.853687	
0.012956	0.929827	0.662674	63.884531	76.100678	
0.012500	0.923773	0.652002	64.160776	76.159486	
0.012049	0.921780	0.659554	64.240438	75.939938	
0.011604	0.916682	0.652161	64.461287	76.190850	
0.011165	0.912767	0.650868	64.526977	76.577018	
0.010732	0.911438	0.646734	64.598551	76.488807	
0.010305	0.904770	0.644749	64.845136	76.459403	
0.009885	0.901251	0.642668	65.081672	76.443721	
0.009471	0.898148	0.647390	65.076770	76.608382	
0.009064	0.891803	0.620221	65.315267	77.592426	
0.008665	0.890367	0.625345	65.412087	77.410123	
0.008272	0.887082	0.632493	65.573618	76.951425	
0.007886	0.883263	0.624465	65.730001	77.323872	
0.007508	0.876845	0.605310	65.910406	78.084447	
0.007138	0.872727	0.616059	66.111890	77.717881	
0.006776	0.869060	0.607895	66.292785	78.129533	
0.006421	0.865029	0.604963	66.325875	78.425530	
0.006075	0.858781	0.599335	66.591335	78.456894	
0.005737	0.854068	0.595178	66.793309	78.482377	
0.005408	0.848883	0.587925	66.940378	78.907751	
0.005087	0.847260	0.584102	67.053866	79.092014	
0.004775	0.843008	0.575918	67.215397	79.190026	
0.004471	0.834762	0.573259	67.583560	79.423296	
0.004177	0.832614	0.570088	67.607581	79.478182	
0.003892	0.825217	0.560629	67.785044	80.174070	
0.003616	0.821224	0.557274	68.063740	80.042733	
0.003349	0.817882	0.553854	68.219878	80.395578	
0.003092	0.811786	0.548234	68.386556	80.511232	
0.002845	0.807614	0.542242	68.565735	80.573960	
0.002607	0.801902	0.550001	68.806928	80.387737	
0.002379	0.796611	0.544534	68.940761	80.632767	
0.002161	0.791295	0.535065	69.146657	80.905242	
0.001953	0.786223	0.532049	69.306227	81.077743	
0.001756	0.782578	0.527037	69.529036	81.228682	
0.001568	0.776994	0.529614	69.678311	81.254166	
0.001391	0.773570	0.524164	69.784691	81.538401	
0.001224	0.769103	0.520544	70.044758	81.565845	
0.001067	0.764705	0.520299	70.186925	81.730505	
0.000921	0.760248	0.515570	70.259969	81.706982	
0.000785	0.754901	0.515160	70.511212	81.846160	
0.000661	0.751917	0.510888	70.589648	81.938291	
0.000546	0.745834	0.508013	70.862706	82.050025	
0.000443	0.744837	0.509838	70.901434	82.187243	
0.000350	0.741260	0.506588	71.095075	82.114714	
0.000268	0.739489	0.503392	71.103409	82.293096	
0.000197	0.735089	0.507591	71.262489	82.277414	
0.000137	0.735491	0.504002	71.204887	82.297017	
0.000088	0.732694	0.504207	71.326954	82.361705	
0.000049	0.730306	0.502464	71.436520	82.455796	
0.000022	0.730030	0.504194	71.442158	82.402870	
0.000005	0.730800	0.503925	71.329405	82.393069	
0.000000	0.731028	0.504489	71.370094	82.451876	
