Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049995	1.946128	1.789077	17.356525	25.116635	
0.049978	1.687654	1.546326	30.985117	41.737562	
0.049951	1.470245	1.280089	42.095128	51.934763	
0.049912	1.361841	1.278843	46.688682	52.869800	
0.049863	1.295851	1.241730	49.234258	53.320657	
0.049803	1.255087	1.117705	50.785538	58.284000	
0.049732	1.219407	1.145451	52.254935	58.019367	
0.049650	1.188001	1.116009	53.350910	58.411416	
0.049557	1.168788	1.176309	54.439685	59.166111	
0.049454	1.148998	1.162117	55.371893	59.562081	
0.049340	1.133016	1.197235	55.612144	56.676599	
0.049215	1.116178	1.077561	56.255511	60.769593	
0.049079	1.099573	1.128534	57.155326	58.989689	
0.048933	1.091137	1.052481	57.475660	62.080997	
0.048777	1.080438	1.019167	57.890475	63.078763	
0.048610	1.067111	1.025276	58.326885	62.892539	
0.048432	1.064993	1.064933	58.425864	62.335829	
0.048245	1.051605	1.090795	59.123221	61.030305	
0.048047	1.043887	1.042625	59.347274	63.680558	
0.047839	1.035611	1.059910	59.616319	62.133924	
0.047621	1.022058	1.046217	60.277683	63.065041	
0.047393	1.025080	1.041184	60.185902	63.059160	
0.047155	1.016250	1.043000	60.507136	62.829811	
0.046908	1.009918	1.033185	60.714993	63.835418	
0.046651	1.001747	1.044771	61.038026	63.645274	
0.046384	0.995155	1.057063	61.287275	63.078763	
0.046108	0.988627	1.027265	61.503230	63.804054	
0.045823	0.987907	1.121060	61.646301	61.020504	
0.045529	0.981169	1.039741	61.841561	64.139256	
0.045226	0.973691	1.050187	62.175392	63.372800	
0.044913	0.968848	1.109234	62.457034	63.633512	
0.044593	0.963158	1.043943	62.542516	63.580586	
0.044263	0.959923	1.028368	62.708982	64.531305	
0.043925	0.952075	1.077169	63.105800	63.443368	
0.043579	0.952860	1.131796	62.840355	63.439448	
0.043224	0.946935	1.088307	63.346051	63.478653	
0.042862	0.942591	1.022824	63.368546	64.635198	
0.042492	0.938104	1.040262	63.553008	63.972635	
0.042114	0.931919	1.038193	63.653787	64.407810	
0.041728	0.934206	1.030438	63.755466	65.417336	
0.041336	0.927949	1.032512	64.024511	65.779982	
0.040936	0.922741	1.040488	63.992118	65.723135	
0.040529	0.917435	1.041607	64.453723	64.207865	
0.040115	0.920641	1.010180	64.151385	64.396048	
0.039695	0.910787	0.999552	64.540105	65.883875	
0.039268	0.912691	1.052081	64.401533	65.689811	
0.038835	0.904163	1.032006	64.852340	65.397734	
0.038396	0.900689	1.012731	64.913528	65.750578	
0.037951	0.897283	1.027836	65.126784	66.085780	
0.037500	0.890086	1.048705	65.265355	65.572196	
0.037044	0.889573	1.029877	65.430021	66.150468	
0.036583	0.890935	1.042397	65.396728	65.429098	
0.036116	0.884072	1.020551	65.576691	66.160270	
0.035645	0.881053	1.050347	65.780049	65.042929	
0.035169	0.878105	1.020996	65.789047	66.075979	
0.034688	0.883256	1.011694	65.643277	66.666013	
0.034203	0.871558	1.055184	66.082387	65.713334	
0.033715	0.864689	1.062881	66.310940	66.052456	
0.033222	0.866990	1.033057	66.352331	66.079900	
0.032726	0.867041	1.048486	66.307341	65.999530	
0.032226	0.862002	1.010189	66.454910	66.183793	
0.031723	0.857524	1.017556	66.554790	66.881640	
0.031218	0.853787	1.020794	66.853528	66.507233	
0.030709	0.850693	1.062506	67.018194	66.085780	
0.030198	0.847188	1.022185	66.892220	66.836555	
0.029685	0.846627	1.075834	66.910216	66.236719	
0.029170	0.838705	1.050974	67.390718	65.840750	
0.028652	0.840533	1.041003	67.391617	66.444505	
0.028134	0.833367	1.018197	67.478000	66.581723	
0.027614	0.834461	1.044021	67.486998	65.703532	
