Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.049951	1.851817	1.516558	32.610000	45.160000	
0.049803	1.491786	1.227366	46.238000	55.950000	
0.049558	1.328043	1.026199	52.344000	64.400000	
0.049215	1.218518	0.867104	56.658000	70.070000	
0.048777	1.143521	0.973268	59.638000	68.230000	
0.048245	1.077003	0.808932	62.036000	72.320000	
0.047622	1.037169	0.724895	63.456000	74.850000	
0.046909	0.997213	0.696825	65.114000	76.330000	
0.046109	0.962537	0.620404	66.058000	78.790000	
0.045227	0.931905	0.603719	67.306000	79.120000	
0.044264	0.915695	0.618127	67.944000	78.800000	
0.043226	0.892300	0.547676	68.822000	80.880000	
0.042115	0.879224	0.560682	68.960000	80.440000	
0.040937	0.851322	0.536718	70.010000	81.650000	
0.039696	0.825550	0.516625	70.994000	82.330000	
0.038397	0.809200	0.513755	71.622000	82.330000	
0.037046	0.800666	0.492161	71.896000	82.990000	
0.035646	0.787178	0.478639	72.416000	83.480000	
0.034205	0.771197	0.486594	73.022000	83.220000	
0.032727	0.751577	0.501087	73.414000	83.040000	
0.031219	0.735620	0.447586	74.232000	84.360000	
0.029687	0.729328	0.441873	74.472000	85.010000	
0.028135	0.715412	0.417859	75.082000	85.440000	
0.026572	0.698817	0.420408	75.620000	85.750000	
0.025002	0.682397	0.433958	76.208000	85.540000	
0.023432	0.678917	0.411245	76.128000	86.020000	
0.021869	0.660205	0.399290	76.722000	86.510000	
0.020317	0.650540	0.390240	77.092000	86.450000	
0.018785	0.632704	0.391721	77.776000	86.600000	
0.017276	0.618944	0.391177	78.244000	86.890000	
0.015799	0.607657	0.377180	78.924000	87.230000	
0.014357	0.596452	0.370072	79.086000	87.650000	
0.012958	0.575852	0.373499	79.702000	87.470000	
0.011606	0.567825	0.369728	80.060000	87.720000	
0.010307	0.563206	0.361299	80.434000	87.940000	
0.009066	0.548916	0.356227	80.826000	88.090000	
0.007888	0.540891	0.357356	81.188000	87.810000	
0.006777	0.535009	0.345481	81.262000	88.290000	
0.005738	0.525546	0.348955	81.604000	88.550000	
0.004776	0.508956	0.341727	82.254000	89.100000	
0.003893	0.495429	0.343978	82.670000	88.620000	
0.003093	0.495669	0.343996	82.712000	88.990000	
0.002380	0.473571	0.339204	83.462000	88.880000	
0.001756	0.476443	0.335349	83.394000	89.180000	
0.001224	0.468794	0.332838	83.638000	89.130000	
0.000786	0.459156	0.333760	84.006000	89.430000	
0.000443	0.458996	0.336111	84.038000	89.320000	
0.000197	0.458132	0.331905	83.828000	89.410000	
0.000049	0.456827	0.331176	84.028000	89.410000	
0.000000	0.453918	0.331295	84.024000	89.240000	
